Date,Close
2018-11-23,73.12
2018-11-26,75.09
2018-11-27,75.17
2018-11-28,76.95
2018-11-29,76.46
2018-11-30,75.54
2018-12-03,77.97
2018-12-04,75.15
2018-12-06,75.59
2018-12-07,72.86
2018-12-10,72.67
2018-12-11,72.4
2018-12-12,72.78
2018-12-13,72.22
2018-12-14,71.86
2018-12-17,70.27
2018-12-18,70.49
2018-12-19,69.66
2018-12-20,67.5
2018-12-21,66.47
2018-12-24,66.51
2018-12-26,69.51
2018-12-27,70.33
2018-12-28,70.95
2018-12-31,71.8
2019-01-02,70.94
2019-01-03,67.3
2019-01-04,69.94
2019-01-07,70.74
2019-01-08,71.86
2019-01-09,71.04
2019-01-10,72.07
2019-01-11,71.89
2019-01-14,70.99
2019-01-15,72.5
2019-01-16,72.04
2019-01-17,72
2019-01-18,73.08
2019-01-22,71.01
2019-01-23,70.73
2019-01-24,71.06
2019-01-25,71.76
2019-01-28,72.31
2019-01-29,73.15
2019-01-30,74.13
2019-01-31,74.48
2019-02-01,74.42
2019-02-04,74.73
2019-02-05,74.62
2019-02-06,75.57
2019-02-07,74.68
2019-02-08,73.91
2019-02-11,74.4
2019-02-12,74.32
2019-02-13,79.37
2019-02-14,80.16
2019-02-15,81.75
2019-02-19,81.39
2019-02-20,83.34
2019-02-21,83.25
2019-02-22,85.03
2019-02-25,83.55
2019-02-26,83.49
2019-02-27,83.49
2019-02-28,83.1
2019-03-01,83.78
2019-03-04,83.38
2019-03-05,84.01
2019-03-06,83.96
2019-03-07,82.92
2019-03-08,82.45
2019-03-11,82.8
2019-03-12,83.41
2019-03-13,83.67
2019-03-14,85
2019-03-15,85.76
2019-03-18,86.21
2019-03-19,85.7
2019-03-20,84.92
2019-03-21,85.79
2019-03-22,84.57
2019-03-25,84.02
2019-03-26,83.5
2019-03-27,82.45
2019-03-28,83.21
2019-03-29,83.11
2019-04-01,84.15
2019-04-02,85.04
2019-04-03,86.79
2019-04-04,87.31
2019-04-05,87.44
2019-04-08,88.18
2019-04-09,87.1
2019-04-10,87.99
2019-04-11,88.53
2019-04-12,88.73
2019-04-15,88.17
2019-04-16,88.15
2019-04-17,87.76
2019-04-18,87.23
2019-04-22,87.91
2019-04-23,87.91
2019-04-24,87.5
2019-04-25,87.63
2019-04-26,88.01
2019-04-29,87.25
2019-04-30,86.99
2019-05-01,92.6
2019-05-02,91.23
2019-05-03,93.33
2019-05-06,92.3
2019-05-07,90.49
2019-05-08,90.7
2019-05-09,91.14
2019-05-10,91.53
2019-05-13,89.37
2019-05-14,91.74
2019-05-15,93.65
2019-05-16,94.05
2019-05-17,92.93
2019-05-20,91.47
2019-05-21,92.11
2019-05-22,92.02
2019-05-23,90.66
2019-05-24,89.91
2019-05-28,89.2
2019-05-29,88.91
2019-05-30,89.66
2019-05-31,89.44
2019-06-03,88.43
2019-06-04,90.32
2019-06-05,90
2019-06-06,91
2019-06-07,92.51
2019-06-10,93.03
2019-06-11,93.93
2019-06-12,93.35
2019-06-13,93.03
2019-06-14,93.42
2019-06-17,93.21
2019-06-18,95.1
2019-06-19,95.76
2019-06-20,96.87
2019-06-21,96.14
2019-06-24,95.51
2019-06-25,93.25
2019-06-26,94.52
2019-06-27,96.53
2019-06-28,97.74
2019-07-01,99.3
2019-07-02,100.39
2019-07-03,100.64
2019-07-05,100.6
2019-07-08,100.19
